County_Name,State_Name,Confirmed,New,Death,New_Death,Fatality_Rate,Latitude,Longitude,Last_Update
King,Washington,328,,32,,0.097561,47.490118100000004,-121.8043324,2020-03-14 12:04 EDT
Snohomish,Washington,133,,4,,0.0300752,47.9124,-122.09306000000001,2020-03-14 12:04 EDT
Unassigned,Washington,65,,0,,0.0,47.400902,-121.490494,2020-03-14 12:04 EDT
Pierce,Washington,19,,0,,0.0,47.0227081,-122.1014408,2020-03-14 12:04 EDT
Clark,Washington,3,,0,,0.0,45.781873299999994,-122.48127849999999,2020-03-14 12:04 EDT
Kittitas,Washington,3,,0,,0.0,46.98472,-120.41752,2020-03-14 12:04 EDT
Kitsap,Washington,3,,0,,0.0,47.4749622,-122.6085325,2020-03-14 12:04 EDT
Skagit,Washington,3,,0,,0.0,48.4793302,-121.72808020000001,2020-03-14 12:04 EDT
Island,Washington,3,,0,,0.0,48.1916094,-122.6650075,2020-03-14 12:04 EDT
Whatcom,Washington,2,,0,,0.0,48.825596999999995,-121.7174182,2020-03-14 12:04 EDT
Yakima,Washington,2,,0,,0.0,46.60448,-120.50721000000001,2020-03-14 12:04 EDT
Grant,Washington,1,,1,,1.0,47.1988579,-119.4525987,2020-03-14 12:04 EDT
Jefferson,Washington,1,,0,,0.0,47.7481061,-123.6000095,2020-03-14 12:04 EDT
Thurston,Washington,1,,0,,0.0,46.9198058,-122.82986909999998,2020-03-14 12:04 EDT
Grays Harbor,Washington,1,,0,,0.0,47.1505523,-123.7737432,2020-03-14 12:04 EDT
Columbia,Washington,1,,0,,0.0,46.2975768,-117.90786340000001,2020-03-14 12:04 EDT
Westchester,New York,158,,0,,0.0,41.163197600000004,-73.7560629,2020-03-14 12:04 EDT
New York,New York,154,,1,,0.0064935,40.71455,-74.00714,2020-03-14 12:04 EDT
Unassigned,New York,100,,0,,0.0,42.165726,-74.948051,2020-03-14 12:04 EDT
Nassau,New York,51,,0,,0.0,40.7416523,-73.58899620000001,2020-03-14 12:04 EDT
Suffolk,New York,28,,0,,0.0,40.8773281,-72.85898040000001,2020-03-14 12:04 EDT
Rockland,New York,9,,0,,0.0,41.152374,-74.0240103,2020-03-14 12:04 EDT
Ulster,New York,5,,0,,0.0,41.95986,-73.99033,2020-03-14 12:04 EDT
Albany,New York,4,,0,,0.0,42.65155,-73.75520999999999,2020-03-14 12:04 EDT
Saratoga,New York,3,,0,,0.0,43.06974,-73.63661,2020-03-14 12:04 EDT
Orange,New York,3,,0,,0.0,41.4020682,-74.30559570000001,2020-03-14 12:04 EDT
Dutchess,New York,3,,0,,0.0,41.7647751,-73.7428168,2020-03-14 12:04 EDT
Monroe,New York,2,,0,,0.0,43.1460428,-77.69674909999999,2020-03-14 12:04 EDT
Delaware,New York,1,,0,,0.0,42.198043299999995,-74.966352,2020-03-14 12:04 EDT
Herkimer,New York,1,,0,,0.0,43.0259,-74.98433,2020-03-14 12:04 EDT
Schenectady,New York,1,,0,,0.0,42.81238,-73.94122,2020-03-14 12:04 EDT
Broome,New York,1,,0,,0.0,42.160218,-75.8196459,2020-03-14 12:04 EDT
Santa Clara,California,79,,2,,0.0253165,37.35579,-121.95508999999998,2020-03-14 12:04 EDT
Los Angeles,California,40,,1,,0.025,34.053490000000004,-118.24531999999999,2020-03-14 12:04 EDT
San Mateo,California,26,,0,,0.0,37.54704,-122.31485,2020-03-14 12:04 EDT
Contra Costa,California,25,,0,,0.0,37.9179373,-121.9259354,2020-03-14 12:04 EDT
San Francisco,California,23,,0,,0.0,37.777120000000004,-122.41963999999999,2020-03-14 12:04 EDT
Sacramento,California,17,,1,,0.0588235,38.579440000000005,-121.49085,2020-03-14 12:04 EDT
Orange,California,13,,0,,0.0,33.78787,-117.85071,2020-03-14 12:04 EDT
Riverside,California,12,,0,,0.0,33.98171,-117.37404,2020-03-14 12:04 EDT
