County_Name,State_Name,Confirmed,New,Death,New_Death,Fatality_Rate,Recovered,New_Recovered,Latitude,Longitude,Last_Update
New York,New York,165717,2150,17515,139,10.60%,0,0,40.71455,-74.00714,2020-04-27 22:10 EDT
Nassau,New York,34865,2743,1620,32,4.60%,2585,82,40.74165225,-73.58899619,2020-04-27 22:10 EDT
Suffolk,New York,33286,1227,1102,37,3.30%,2422,69,40.87732808,-72.85898036,2020-04-27 22:10 EDT
Westchester,New York,28007,343,962,16,3.40%,9371,0,41.16319759,-73.7560629,2020-04-27 22:10 EDT
Rockland,New York,11366,110,431,22,3.80%,0,0,41.152374,-74.02401032,2020-04-27 22:10 EDT
Orange,New York,8238,132,299,275,3.60%,0,0,41.40206825,-74.30559567,2020-04-27 22:10 EDT
Erie,New York,3061,65,207,0,6.80%,479,0,42.76382119,-78.73224973,2020-04-27 22:10 EDT
Dutchess,New York,2793,64,326,1,11.70%,487,1,41.76477515,-73.74281684,2020-04-27 22:10 EDT
Monroe,New York,1331,15,108,2,8.10%,697,0,43.14604282,-77.69674911,2020-04-27 22:10 EDT
Ulster,New York,1289,99,24,1,1.90%,240,79,41.95986,-73.99033,2020-04-27 22:10 EDT
Putnam,New York,988,46,7,0,0.70%,0,0,41.42653455,-73.7494999,2020-04-27 22:10 EDT
Albany,New York,979,231,326,4,33.30%,0,0,42.65155,-73.75521,2020-04-27 22:10 EDT
Onondaga,New York,819,45,76,1,9.30%,518,123,43.00487,-76.1836,2020-04-27 22:10 EDT
Sullivan,New York,748,74,71,4,9.50%,470,46,41.71631354,-74.76811083,2020-04-27 22:10 EDT
Schenectady,New York,457,2,22,7,4.80%,258,50,42.81238,-73.94122,2020-04-27 22:10 EDT
Niagara,New York,410,42,71,0,17.30%,182,7,43.19998147,-78.74522262,2020-04-27 22:10 EDT
Oneida,New York,397,123,15,1,3.80%,148,10,43.24306498,-75.42583597,2020-04-27 22:10 EDT
Saratoga,New York,3236,6,11,0,0.30%,131,0,43.06974,-73.63661,2020-04-27 22:10 EDT
Broome,New York,762,2,19,2,2.50%,134,17,42.16021802,-75.81964586,2020-04-27 22:10 EDT
Rensselaer,New York,252,10,11,0,4.40%,146,32,42.71086263,-73.5097379,2020-04-27 22:10 EDT
Steuben,New York,275,2,35,2,12.70%,104,0,42.26782685,-77.38382596,2020-04-27 22:10 EDT
St. Lawrence,New York,176,9,0,0,0.00%,0,0,44.17727,-76.16772,2020-04-27 22:10 EDT
Columbia,New York,154,2,13,0,8.40%,81,4,42.25001078,-73.63186134,2020-04-27 22:10 EDT
Warren,New York,147,12,0,0,0.00%,0,0,43.5592099,-73.85881158,2020-04-27 22:10 EDT
Genesee,New York,146,2,3,0,2.10%,72,2,43.00094016,-78.1936949,2020-04-27 22:10 EDT
Madison,New York,133,6,5,0,3.80%,108,1,42.91290749,-75.66978904,2020-04-27 22:10 EDT
Tompkins,New York,130,1,0,0,0.00%,97,2,42.44933495,-76.47064359,2020-04-27 22:10 EDT
Washington,New York,130,2,2,0,1.50%,53,10,43.31227113,-73.43096234,2020-04-27 22:10 EDT
Greene,New York,119,1,5,0,4.20%,73,5,42.27654571,-74.12261588,2020-04-27 22:10 EDT
Chemung,New York,108,2,1,0,0.90%,10,0,42.1411881,-76.7600106,2020-04-27 22:10 EDT
Chenango,New York,95,2,0,0,0.00%,0,0,42.49349443,-75.6115371,2020-04-27 22:10 EDT
Tioga,New York,94,5,6,1,6.40%,29,2,42.06057,-76.34519,2020-04-27 22:10 EDT
Ontario,New York,86,0,9,0,10.50%,47,0,42.85288942,-77.29981098,2020-04-27 22:10 EDT
Orleans,New York,81,1,9,2,11.10%,0,2,43.25210059,-78.23124678,2020-04-27 22:10 EDT
Wayne,New York,69,4,1,1,1.40%,35,0,42.474131,-77.09816,2020-04-27 22:10 EDT
Delaware,New York,68,2,4,0,5.90%,39,7,42.19804334,-74.96635196,2020-04-27 22:10 EDT
Clinton,New York,66,1,4,0,6.10%,46,0,44.7904,-73.6006,2020-04-27 22:10 EDT
Wyoming,New York,64,5,5,0,7.80%,33,2,42.70242659,-78.22443261,2020-04-27 22:10 EDT
Livingston,New York,63,2,5,0,7.90%,30,0,42.72808354,-77.77543855,2020-04-27 22:10 EDT
Fulton,New York,62,0,0,0,0.00%,0,0,43.11240266,-74.43516277,2020-04-27 22:10 EDT
Jefferson,New York,61,0,0,0,0.00%,9,0,44.04103424,-75.91225529,2020-04-27 22:10 EDT
Oswego,New York,61,0,3,1,4.90%,43,2,43.4365257,-76.14924403,2020-04-27 22:10 EDT
Otsego,New York,60,0,4,0,6.70%,31,0,42.63373751,-75.03256231,2020-04-27 22:10 EDT
Herkimer,New York,57,0,3,0,5.30%,0,0,43.0259,-74.98433,2020-04-27 22:10 EDT
Cayuga,New York,43,0,1,0,2.30%,42,0,42.92145204,-76.54917489,2020-04-27 22:10 EDT
Montgomery,New York,47,0,1,0,2.10%,33,0,42.9022918,-74.43960085,2020-04-27 22:10 EDT
Cattaraugus,New York,45,0,0,0,0.00%,0,0,42.24859584,-78.67881202,2020-04-27 22:10 EDT
Seneca,New York,38,0,0,0,0.00%,0,0,42.79006836,-76.82292272,2020-04-27 22:10 EDT
Allegany,New York,35,0,2,0,5.70%,238,0,42.25739788,-78.02755444,2020-04-27 22:10 EDT
Schoharie,New York,35,0,0,0,0.00%,0,0,42.58820746,-74.44213588,2020-04-27 22:10 EDT
Cortland,New York,32,0,0,0,0.00%,31,1,42.59500111,-76.07023743,2020-04-27 22:10 EDT
Chautauqua,New York,31,0,3,0,9.70%,0,0,42.22826274,-79.36643298,2020-04-27 22:10 EDT
Essex,New York,24,0,0,0,0.00%,3,0,44.10755697,-73.79125847,2020-04-27 22:10 EDT
Yates,New York,17,0,1,0,5.90%,2,0,42.63334577,-77.11807678,2020-04-27 22:10 EDT
Franklin,New York,14,0,0,0,0.00%,4,0,44.59267538,-74.30342185,2020-04-27 22:10 EDT
Lewis,New York,9,0,0,0,0.00%,5,0,43.78473387,-75.44870612,2020-04-27 22:10 EDT
Schuyler,New York,3,0,0,0,0.00%,6,0,42.37063897,-76.9851275,2020-04-27 22:10 EDT
Hamilton,New York,3,0,0,0,0.00%,0,0,43.66130373,-74.49733573,2020-04-27 22:10 EDT
Bergen,New Jersey,15104,139,960,5,6.40%,0,0,40.95949149,-74.074442,2020-04-27 22:10 EDT
Hudson,New Jersey,13925,2717,673,12,4.80%,314,0,40.74034231,-74.0741097,2020-04-27 22:10 EDT
Essex,New Jersey,13047,184,1028,5,7.90%,60,0,40.78779259,-74.24760059,2020-04-27 22:10 EDT
Union,New Jersey,12011,158,583,12,4.90%,151,0,40.69635,-74.26957,2020-04-27 22:10 EDT
Passaic,New Jersey,11349,2712,438,12,3.90%,0,0,40.86034,-74.12374,2020-04-27 22:10 EDT
Middlesex,New Jersey,10767,1375,455,12,4.20%,0,0,40.57936,-74.50067,2020-04-27 22:10 EDT
Ocean,New Jersey,6024,62,3230,2,53.60%,0,0,39.90927434,-74.2969653,2020-04-27 22:10 EDT
Monmouth,New Jersey,5759,82,302,11,5.20%,0,0,40.2600411,-74.22194634,2020-04-27 22:10 EDT
Morris,New Jersey,5030,54,355,4,7.10%,1,0,40.86201902,-74.5442741,2020-04-27 22:10 EDT
Mercer,New Jersey,3433,782,194,6,5.70%,12,0,40.28331911,-74.70157374,2020-04-27 22:10 EDT
Somerset,New Jersey,3204,60,227,4,7.10%,0,0,40.49859,-74.52249,2020-04-27 22:10 EDT
Camden,New Jersey,3124,141,122,1,3.90%,0,0,39.94525,-75.11913,2020-04-27 22:10 EDT
Burlington,New Jersey,2407,74,98,4,4.10%,0,0,40.07687,-74.85775,2020-04-27 22:10 EDT
Gloucester,New Jersey,1111,135,33,2,3.00%,0,0,39.71720107,-75.14164366,2020-04-27 22:10 EDT
Sussex,New Jersey,864,9,93,1,10.80%,0,0,41.13934496,-74.69067762,2020-04-27 22:10 EDT
Warren,New Jersey,810,37,67,2,8.30%,76,0,40.85732358,-74.997063,2020-04-27 22:10 EDT
Atlantic,New Jersey,749,111,30,1,4.00%,71,0,39.4806564,-74.67264306,2020-04-27 22:10 EDT
Cumberland,New Jersey,595,75,3,2,0.50%,0,0,39.37311491,-75.11061925,2020-04-27 22:10 EDT
Hunterdon,New Jersey,564,22,22,0,3.90%,0,0,40.56725317,-74.91217921,2020-04-27 22:10 EDT
Cape May,New Jersey,231,0,18,0,7.80%,45,0,38.93547,-74.92137,2020-04-27 22:10 EDT
Salem,New Jersey,712,231,7,1,1.00%,0,0,39.57661332,-75.35810746,2020-04-27 22:10 EDT
Middlesex,Massachusetts,12953,305,700,30,5.40%,147,0,42.48559407,-71.3917913,2020-04-27 22:10 EDT
Suffolk,Massachusetts,11883,340,48,57,0.40%,976,0,42.33189157,-71.07537429,2020-04-27 22:10 EDT
Essex,Massachusetts,7708,2719,3259,22,42.30%,0,0,42.63251,-70.78113,2020-04-27 22:10 EDT
Norfolk,Massachusetts,5398,110,429,279,7.90%,718,0,42.11941,-71.33083,2020-04-27 22:10 EDT
Worcester,Massachusetts,4744,172,715,37,15.10%,3,0,42.26341,-71.80219,2020-04-27 22:10 EDT
Plymouth,Massachusetts,4607,112,20,22,0.40%,0,0,41.92808,-70.6568,2020-04-27 22:10 EDT
Hampden,Massachusetts,3381,86,337,272,10.00%,0,0,42.064613,-72.422,2020-04-27 22:10 EDT
Bristol,Massachusetts,3068,145,137,7,4.50%,0,0,41.79836956,-71.11428121,2020-04-27 22:10 EDT
Barnstable,Massachusetts,798,76,39,2,4.90%,0,0,41.70194,-70.30442,2020-04-27 22:10 EDT
Hampshire,Massachusetts,443,16,76,6,17.20%,0,0,42.3402715,-72.66940388,2020-04-27 22:10 EDT
Berkshire,Massachusetts,48,0,31,0,64.60%,0,0,42.51105,-73.19426,2020-04-27 22:10 EDT
Franklin,Massachusetts,231,5,33,1,14.30%,0,0,42.58654867,-72.59777313,2020-04-27 22:10 EDT
Dukes and Nantucket,Massachusetts,25,0,1,0,4.00%,0,0,42.312753,-71.3018295,2020-04-27 22:10 EDT
Cook,Illinois,31953,1379,1347,34,4.20%,2,0,41.84014932,-87.81682325,2020-04-27 22:10 EDT
Lake,Illinois,3080,90,118,0,3.80%,0,0,42.32327645,-88.00353452,2020-04-27 22:10 EDT
DuPage,Illinois,2628,185,133,2,5.10%,100,0,41.85194049,-88.08561127,2020-04-27 22:10 EDT
Will,Illinois,2173,47,136,2,6.30%,0,0,41.44505655,-87.97865231,2020-04-27 22:10 EDT
Kane,Illinois,1185,76,39,0,3.30%,0,0,41.93887565,-88.42863925,2020-04-27 22:10 EDT
McHenry,Illinois,538,275,238,0,44.20%,0,0,42.32621,-88.26731,2020-04-27 22:10 EDT
St. Clair,Illinois,403,12,24,0,6.00%,0,0,38.46996471,-89.92749975,2020-04-27 22:10 EDT
Winnebago,Illinois,3243,275,3,0,0.10%,0,0,42.26568,-89.24139,2020-04-27 22:10 EDT
Rock Island,Illinois,3223,19,3,2,0.10%,0,0,41.51196,-90.57607,2020-04-27 22:10 EDT
Kankakee,Illinois,3209,5,22,0,0.70%,59,0,41.13771418,-87.86181763,2020-04-27 22:10 EDT
Madison,Illinois,3206,1,17,1,0.50%,72,0,38.83006224,-89.9017802,2020-04-27 22:10 EDT
Kendall,Illinois,718,10,5,0,0.70%,76,0,41.59058793,-88.42880574,2020-04-27 22:10 EDT
Sangamon,Illinois,113,9,3,2,2.70%,31,0,39.75815792,-89.6588874,2020-04-27 22:10 EDT
Randolph,Illinois,109,5,1,0,0.90%,35,0,38.05412332,-89.82377735,2020-04-27 22:10 EDT
Champaign,Illinois,107,2,6,1,5.60%,62,0,40.1142,-88.2435,2020-04-27 22:10 EDT
Ogle,Illinois,105,18,1,0,1.00%,0,0,42.04264493,-89.32067151,2020-04-27 22:10 EDT
Macon,Illinois,103,1,11,0,10.70%,0,0,39.86000596,-88.96158169,2020-04-27 22:10 EDT
McLean,Illinois,92,4,3,0,3.30%,73,0,40.4908761,-88.84731521,2020-04-27 22:10 EDT
Clinton,Illinois,85,1,1,0,1.20%,11,0,40.1536,-88.9645,2020-04-27 22:10 EDT
Jefferson,Illinois,83,0,3,2,3.60%,0,0,38.30050521,-88.92399427,2020-04-27 22:10 EDT
Boone,Illinois,79,2,9,1,11.40%,0,0,42.32307929,-88.8233727,2020-04-27 22:10 EDT
DeKalb,Illinois,76,5,1,0,1.30%,31,0,41.89355666,-88.77029027,2020-04-27 22:10 EDT
Jackson,Illinois,68,1,7,0,10.30%,14,0,37.78549498,-89.38103883,2020-04-27 22:10 EDT
Peoria,Illinois,68,2,2,0,2.90%,13,0,40.69236,-89.58799,2020-04-27 22:10 EDT
Whiteside,Illinois,67,5,5,0,7.50%,10,0,41.75533495,-89.91231676,2020-04-27 22:10 EDT
Monroe,Illinois,64,0,10,0,15.60%,0,0,38.27850832,-90.17455562,2020-04-27 22:10 EDT
Warren,Illinois,50,1,0,0,0.00%,0,0,40.84883666,-90.61501604,2020-04-27 22:10 EDT
LaSalle,Illinois,46,2,1,0,2.20%,3,0,41.34400744,-88.88594642,2020-04-27 22:10 EDT
Jasper,Illinois,42,0,3,1,7.10%,0,0,39.01000253,-88.15380616,2020-04-27 22:10 EDT
Tazewell,Illinois,37,1,3,0,8.10%,0,0,40.50750325,-89.51351745,2020-04-27 22:10 EDT
Henry,Illinois,326,0,0,0,0.00%,0,0,41.3530971,-90.13137241,2020-04-27 22:10 EDT
Knox,Illinois,326,0,0,0,0.00%,0,0,40.93178932,-90.21320076,2020-04-27 22:10 EDT
Adams,Illinois,33,1,0,0,0.00%,5,0,39.98779601,-91.18448433,2020-04-27 22:10 EDT
Grundy,Illinois,30,0,0,0,0.00%,0,0,41.28509707,-88.41849383,2020-04-27 22:10 EDT
Macoupin,Illinois,30,2,0,0,0.00%,11,0,39.26100111,-89.92440215,2020-04-27 22:10 EDT
Christian,Illinois,28,0,4,0,14.30%,0,0,39.54577609,-89.27725101,2020-04-27 22:10 EDT
Marion,Illinois,76,0,0,0,0.00%,0,0,38.64958383,-88.91892932,2020-04-27 22:10 EDT
Williamson,Illinois,25,0,0,0,0.00%,6,0,37.73016812,-88.92990905,2020-04-27 22:10 EDT
Cass,Illinois,25,0,0,0,0.00%,0,0,39.9740421,-90.24734567,2020-04-27 22:10 EDT
Montgomery,Illinois,22,0,1,0,4.50%,0,0,39.23103717,-89.4788229,2020-04-27 22:10 EDT
Coles,Illinois,22,0,1,0,4.50%,0,0,39.52028617,-88.22175501,2020-04-27 22:10 EDT
Livingston,Illinois,20,0,1,0,5.00%,0,0,40.891555,-88.55772305,2020-04-27 22:10 EDT
Lee,Illinois,20,1,0,0,0.00%,3,0,41.74620411,-89.30033538,2020-04-27 22:10 EDT
